age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y (yes or no)  ,probability of yes (or score) 
24, Private,176389, Bachelors,13, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,no,0.17
62, Self-emp-not-inc,71467, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,no,0.1
37, Private,238802, HS-grad,9, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States,no,0.2
51, Private,173987, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,no,0.15
37, Private,109996, 9th,5, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,40, Hong,no,0.2
38, Private,149771, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,3325,0,40, United-States,no,0.18
36, Local-gov,161132, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,56, United-States,no,0.1
34, State-gov,32174, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,40, United-States,no,0.04
42, Private,196158, Some-college,10, Divorced, Other-service, Not-in-family, White, Female,8614,0,52, United-States,yes,0.75
22, Private,200819, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,no,0.06
19, Private,183264, Some-college,10, Never-married, Protective-serv, Own-child, White, Male,0,0,30, United-States,no,0.07
45, Private,78507, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,no,0.36
34, Local-gov,117963, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,no,0.22
49, Private,191320, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,24, United-States,no,0.21
31, Private,114937, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,no,0.07
51, Self-emp-inc,110327, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,no,0.1
25, Self-emp-inc,66935, HS-grad,9, Never-married, Other-service, Other-relative, White, Male,0,0,30, United-States,no,0.0
18, Private,243240, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States,no,0.15
72, Self-emp-inc,84587, 5th-6th,3, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,20, Japan,no,0.16
39, Private,242922, HS-grad,9, Never-married, Tech-support, Not-in-family, Black, Male,0,0,35, United-States,no,0.11
68, Self-emp-inc,119938, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,no,0.27
40, Private,226027, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,20, United-States,no,0.16
40, Private,277256, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,2559,55, United-States,yes,0.68
44, Private,90582, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,no,0.47
25, Private,36023, HS-grad,9, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0,0,55, United-States,no,0.14
47, Private,78954, 11th,7, Divorced, Sales, Unmarried, White, Female,0,0,28, United-States,no,0.13
23, Private,133515, Bachelors,13, Never-married, Sales, Unmarried, White, Female,0,0,20, United-States,no,0.21
34, Self-emp-not-inc,227540, Bachelors,13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, India,no,0.09
32, Private,180303, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, South,no,0.39
39, Private,156667, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,18, United-States,no,0.06
52, Self-emp-not-inc,73134, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,no,0.08
47, Self-emp-inc,308241, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States,no,0.06
38, Private,43311, 5th-6th,3, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, El-Salvador,no,0.21
28, Self-emp-inc,142443, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,no,0.2
39, Private,453686, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,yes,0.53
18, Private,152171, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,25, United-States,no,0.11
62, Self-emp-not-inc,244953, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,20, United-States,no,0.1
34, Private,608881, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States,no,0.17
46, Private,120131, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,3103,0,40, United-States,yes,0.59
56, Local-gov,205759, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,no,0.1
56, Private,284701, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,no,0.45
60, Private,182343, 12th,8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,no,0.31
43, Private,27661, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,no,0.24
33, Private,310655, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,no,0.44
17, Private,147069, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,16, United-States,no,0.1
41, Self-emp-not-inc,118544, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, United-States,no,0.02
48, Federal-gov,259131, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Male,5455,0,40, United-States,no,0.13
52, Self-emp-not-inc,149508, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,48, United-States,no,0.1
20, Private,129240, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,30, United-States,no,0.06
27, Private,159676, HS-grad,9, Divorced, Transport-moving, Other-relative, White, Male,0,0,40, United-States,no,0.06
28, Private,79874, Assoc-voc,11, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,no,0.19
31, Private,309170, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,no,0.13
47, Self-emp-not-inc,185859, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,3103,0,60, United-States,no,0.12
57, Private,195820, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,no,0.3
53, Private,186303, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,no,0.07
42, Self-emp-not-inc,184378, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,no,0.05
65, Private,237024, 1st-4th,2, Married-civ-spouse, Other-service, Husband, White, Male,0,0,35, Mexico,no,0.32
29, Private,204663, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,3325,0,40, United-States,no,0.08
38, Private,91857, HS-grad,9, Divorced, Other-service, Other-relative, White, Male,0,0,40, United-States,no,0.14
34, Private,207564, Some-college,10, Married-civ-spouse, Other-service, Wife, White, Female,0,0,12, United-States,no,0.2
35, Private,278442, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7298,0,48, United-States,yes,0.67
28, Private,119128, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,no,0.31
56, Private,436651, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, United-States,no,0.21
41, Self-emp-not-inc,201908, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,no,0.02
45, Private,155664, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,44, United-States,no,0.05
53, Private,92565, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,yes,0.52
52, Self-emp-inc,230919, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,no,0.22
31, Local-gov,378426, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,99, Columbia,no,0.23
31, Private,197058, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,2597,0,45, United-States,no,0.28
52, Private,122412, Doctorate,16, Married-civ-spouse, Prof-specialty, Wife, White, Female,99999,0,35, United-States,yes,0.81
32, Private,19447, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States,no,0.16
19, Self-emp-not-inc,159269, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,53, Yugoslavia,no,0.02
20, Private,120046, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,25, United-States,no,0.07
71, Local-gov,94358, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,6, United-States,no,0.08
36, Private,168055, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States,yes,0.68
37, Private,178100, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,yes,0.56
42, Private,256179, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,48, United-States,no,0.37
53, Private,590941, Doctorate,16, Never-married, Prof-specialty, Unmarried, White, Female,0,1408,40, United-States,no,0.47
56, Private,244580, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,no,0.25
17, Private,221797, 12th,8, Never-married, Adm-clerical, Own-child, White, Female,594,0,20, United-States,no,0.13
49, Private,209739, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,60, United-States,yes,0.85
37, Private,176949, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,no,0.19
73, Private,88594, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States,no,0.32
55, Private,173504, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States,no,0.28
40, Self-emp-inc,115411, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States,no,0.44
47, Private,188694, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States,yes,0.78
29, Private,190756, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States,no,0.13
68, Private,58547, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1735,48, United-States,no,0.24
21, Private,402124, Assoc-voc,11, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,no,0.26
30, Private,124569, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,16, United-States,no,0.26
63, Self-emp-not-inc,246124, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,no,0.17
23, Private,285775, HS-grad,9, Never-married, Protective-serv, Other-relative, White, Male,0,0,42, United-States,no,0.0
40, Private,235523, HS-grad,9, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,no,0.18
35, Private,174077, Some-college,10, Divorced, Tech-support, Unmarried, White, Female,0,0,32, United-States,no,0.16
64, Self-emp-not-inc,187793, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,no,0.06
36, Private,220237, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, Greece,yes,0.61
26, Private,209051, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,25, United-States,no,0.13
33, Private,145437, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,43, United-States,no,0.05
55, Local-gov,56915, HS-grad,9, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,8, United-States,no,0.18
73, Self-emp-not-inc,30958, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, United-States,no,0.06
29, Private,163708, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,45, United-States,no,0.28
37, Private,229647, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,42, United-States,no,0.37
46, Self-emp-not-inc,334456, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,no,0.12
24, Private,308239, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,4, United-States,no,0.25
45, Self-emp-inc,214690, Some-college,10, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,no,0.12
29, Private,37359, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,40, United-States,yes,0.75
24, Private,201799, Bachelors,13, Never-married, Transport-moving, Own-child, White, Female,0,0,84, United-States,no,0.27
22, Private,290044, Bachelors,13, Never-married, Other-service, Not-in-family, White, Female,0,0,35, Canada,no,0.28
33, Private,226296, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1672,50, United-States,no,0.23
43, Local-gov,43998, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,50, United-States,no,0.2
31, Private,140092, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,no,0.33
27, Private,360527, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,no,0.19
35, Self-emp-inc,187693, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,80, United-States,no,0.37
46, Local-gov,132994, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,7688,0,40, United-States,no,0.45
42, Private,159449, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,no,0.18
17, Private,188758, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States,no,0.09
21, Private,159879, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,no,0.07
46, Self-emp-not-inc,102388, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,no,0.28
24, Private,360077, 11th,7, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States,no,0.16
45, Federal-gov,163434, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,no,0.01
60, Private,119684, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3103,0,40, United-States,no,0.32
54, Private,229375, Some-college,10, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States,no,0.23
21, Private,97214, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States,no,0.05
25, Private,184569, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,45, United-States,no,0.07
52, Private,98980, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States,no,0.27
38, Private,425502, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,no,0.23
21, Private,191324, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States,no,0.08
43, State-gov,157999, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States,no,0.08
45, Private,128141, 11th,7, Separated, Tech-support, Unmarried, White, Female,0,0,40, Puerto-Rico,no,0.14
27, Private,203776, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States,no,0.17
37, Private,135089, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,56, United-States,no,0.19
55, Local-gov,219074, Some-college,10, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,55, United-States,no,0.16
47, Local-gov,103540, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,no,0.2
33, State-gov,292317, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,no,0.07
54, Local-gov,180427, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,no,0.17
36, Private,325802, HS-grad,9, Separated, Sales, Not-in-family, White, Female,0,0,40, United-States,no,0.16
41, Private,338740, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States,yes,0.51
79, Private,160758, 7th-8th,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, United-States,no,0.1
26, State-gov,291586, HS-grad,9, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States,no,0.09
25, Private,31657, Assoc-voc,11, Separated, Other-service, Not-in-family, White, Female,0,0,34, United-States,no,0.21
23, Private,231866, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States,no,0.16
47, Private,299508, HS-grad,9, Divorced, Tech-support, Unmarried, Black, Female,0,0,55, United-States,no,0.34
46, Local-gov,174361, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,no,0.21
38, Private,289448, Masters,14, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, China,no,0.38
35, Self-emp-not-inc,368140, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States,no,0.14
57, Private,123515, Assoc-voc,11, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,no,0.28
29, Private,177955, 9th,5, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,24, El-Salvador,no,0.06
36, Self-emp-not-inc,119272, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,38, United-States,no,0.1
25, Private,236421, 12th,8, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,no,0.22
27, Private,209443, Bachelors,13, Married-AF-spouse, Sales, Wife, White, Female,0,0,40, United-States,no,0.25
38, Private,48093, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,no,0.23
32, Private,188108, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States,no,0.1
32, Private,189265, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,no,0.19
37, Self-emp-not-inc,183127, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,40, United-States,no,0.04
19, Private,134664, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,3781,0,40, United-States,no,0.07
50, Private,49340, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,no,0.4
27, Private,156294, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,no,0.18
31, Private,175778, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,no,0.22
42, Private,112507, 12th,8, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States,no,0.31
51, Private,261207, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba,no,0.26
25, Private,148298, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,no,0.2
59, Local-gov,173992, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, United-States,no,0.04
42, Private,144002, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,no,0.39
54, Self-emp-not-inc,152652, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,no,0.06
32, State-gov,247481, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States,no,0.26
24, Private,284317, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States,no,0.17
22, Self-emp-inc,120753, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,50, United-States,no,0.1
48, Private,207540, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,99999,0,60, United-States,yes,0.74
57, Self-emp-not-inc,50791, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,20, United-States,no,0.12
38, Private,308798, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States,no,0.2
43, Self-emp-not-inc,171351, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States,no,0.1
23, Private,496856, Assoc-acdm,12, Never-married, Sales, Own-child, White, Female,0,0,35, United-States,no,0.27
45, Local-gov,185588, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,no,0.15
25, Self-emp-not-inc,193716, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States,no,0.03
47, Self-emp-not-inc,85982, Masters,14, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States,no,0.26
52, Self-emp-not-inc,105010, Some-college,10, Never-married, Craft-repair, Unmarried, White, Male,0,0,30, United-States,no,0.04
31, Private,192039, Assoc-acdm,12, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States,no,0.27
23, Private,189194, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,no,0.13
41, Federal-gov,350387, Masters,14, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, India,no,0.21
39, Self-emp-not-inc,102178, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States,no,0.08
23, State-gov,340605, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,12, United-States,no,0.12
38, Private,247547, Assoc-voc,11, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,no,0.19
30, Private,553405, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,no,0.12
36, Private,33435, Assoc-voc,11, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States,no,0.19
23, Private,148709, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,no,0.18
58, Private,102791, HS-grad,9, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States,no,0.17
17, Private,260978, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,14, Philippines,no,0.13
20, State-gov,138371, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,0,0,32, United-States,no,0.02
30, Private,184435, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States,no,0.06
44, Private,121012, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,45, United-States,no,0.5
65, Private,200408, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,no,0.13
36, Private,184659, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States,yes,0.68
53, Private,195904, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States,no,0.22
23, Private,81145, HS-grad,9, Never-married, Other-service, Other-relative, White, Female,0,0,40, United-States,no,0.03
26, Private,60726, Masters,14, Never-married, Exec-managerial, Not-in-family, Black, Male,6849,0,50, United-States,yes,0.51
24, Local-gov,244413, HS-grad,9, Never-married, Adm-clerical, Own-child, Black, Male,0,0,35, Dominican-Republic,no,0.08
42, Private,208068, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Other, Male,7298,0,40, Mexico,yes,0.71
47, Private,172155, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,37, Ecuador,no,0.41
52, Private,225339, HS-grad,9, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States,no,0.15
21, Private,90896, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,no,0.06
23, Private,365881, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,25, United-States,no,0.33
38, Private,152307, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States,no,0.28
17, Private,269430, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,no,0.13
40, Private,130760, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States,no,0.29
51, Self-emp-inc,251585, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,no,0.06
27, Private,135296, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,no,0.4
45, Federal-gov,169711, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,15024,0,72, United-States,yes,0.72
28, Private,79702, Some-college,10, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,40, United-States,no,0.1
26, State-gov,208117, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,38, United-States,no,0.06
42, Private,32627, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,no,0.14
31, Private,361497, 7th-8th,4, Never-married, Farming-fishing, Other-relative, White, Male,0,0,60, Portugal,no,0.34
34, Private,196266, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,no,0.43
33, Private,118941, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,no,0.06
24, Local-gov,234108, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States,no,0.07
58, Private,220896, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,no,0.37
45, Private,44489, Assoc-voc,11, Divorced, Other-service, Not-in-family, White, Male,0,0,10, United-States,no,0.27
46, Private,233059, 9th,5, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States,no,0.34
56, Private,177271, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,yes,0.56
44, Private,55191, Prof-school,15, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States,no,0.35
42, Private,234633, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,47, United-States,no,0.31
42, Private,38389, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,no,0.38
43, Private,212206, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States,no,0.13
37, Private,49687, Bachelors,13, Divorced, Craft-repair, Not-in-family, White, Male,0,1980,40, United-States,yes,0.64
53, Private,34973, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,no,0.17
24, Private,376474, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,65, United-States,no,0.11
24, Private,211968, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States,no,0.22
52, Private,102828, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,yes,0.61
26, Private,250038, 9th,5, Never-married, Farming-fishing, Other-relative, White, Male,0,0,40, Mexico,no,0.08
33, Private,176410, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,5178,0,10, United-States,yes,0.55
45, Private,461725, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,no,0.3
58, Private,244605, Bachelors,13, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,no,0.5
51, State-gov,196395, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,60, United-States,no,0.13
41, Self-emp-inc,130126, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States,no,0.2
28, Private,78529, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,no,0.32
22, Private,345066, 10th,6, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States,no,0.14
28, Private,179008, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States,no,0.18
48, Self-emp-inc,275100, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Greece,no,0.3
